"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"out/22";"set/22";"ago/22";"jul/22";"jun/22";"mai/22";"abr/22";"mar/22";"fev/22";"jan/22";"dez/21";"nov/21";"Competência";"Data de atualização"
"ASSOCIAÇÃO SANTA CASA SAÚDE DE ARAÇATUBA (418803)";"Médico Hospitalar";"Médio";"211";"164";"0,00";"   1,05";"   1,58";"   2,11";"   1,60";"   2,71";"    2,75";"    2,76";"   1,11";"   2,22";"   1,67";"   1,67";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO SANTA CASA SAÚDE DE SÃO JOSÉ DOS CAMPOS (419249)";"Médico Hospitalar";"Médio";"38";"39";"   7,88";"   8,26";"   7,06";"   6,34";"   6,97";"   9,20";"    8,45";"    9,19";"   7,45";"   8,10";"   7,38";"   7,30";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO SANTA SAÚDE (418021)";"Médico Hospitalar";"Médio";"24";"18";"  10,88";"  14,71";"  14,00";"  15,56";"  14,11";"  14,50";"   12,07";"   13,34";"  12,48";"  14,43";"  15,33";"  17,13";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO SÃO FRANCISCO VIDA (419141)";"Médico Hospitalar";"Médio";"45";"41";"   6,71";"   7,75";"   6,24";"   6,95";"   9,87";"  12,40";"   11,29";"    8,01";"   4,00";"   2,90";"   4,71";"   6,49";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO SÃO LUIZ SAÚDE (421006)";"Médico Hospitalar";"Pequeno";"172";"191";"   0,57";"   0,57";"   0,56";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO SAÚDE CONCEIÇÃO (330892)";"Médico Hospitalar";"Pequeno";"126";"136";"   1,52";"   1,52";"   0,76";"   0,76";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO SAÚDE RURAL ALEGRETE (418218)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO SAÚDE SÃO JOSÉ (418919)";"Médico Hospitalar";"Pequeno";"166";"143";"   0,71";"   1,44";"   1,46";"   1,48";"   0,75";"   1,51";"    1,50";"    1,49";"   2,20";"   3,66";"   4,40";"   4,36";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇAO UNISAUDE MARAU (333867)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO UNIVIDA SANTA RITA DO PASSA QUATRO (420123)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"   3,97";"    3,97";"    7,95";"   3,97";"   3,96";"   7,88";"  11,76";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL (412635)";"Médico Hospitalar";"Pequeno";"32";"56";"  17,03";"   9,20";"   7,27";"   7,20";"  10,70";"  14,04";"   12,01";"    6,68";"   3,28";"   1,61";"   1,60";"0,00";"202210";"15/11/2022 05:40:45"
"ATITUDE SAÚDE ASSISTÊNCIA MEDICA LTDA (422151)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"  37,93";" 133,93";" 210,73";" 333,01";"202210";"15/11/2022 05:40:45"
"ATÍVIA SERVIÇOS DE SAÚDE S/A (320510)";"Médico Hospitalar";"Médio";"19";"17";"  13,63";"  15,12";"  13,11";"  11,50";"  11,01";"  14,69";"   13,34";"   12,85";"   9,12";"   9,27";"   9,38";"  11,04";"202210";"15/11/2022 05:40:45"
"AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA (327417)";"Médico Hospitalar";"Médio";"125";"122";"   1,36";"   1,47";"   1,35";"   1,34";"   0,97";"   1,34";"    1,47";"    1,35";"   1,10";"   1,23";"   1,77";"   1,57";"202210";"15/11/2022 05:40:45"
"BARDELLA S/A INDÚSTRIAS MECÂNICAS (346403)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"BENEFICENCIA CAMILIANA DO SUL (318299)";"Médico Hospitalar";"Médio";"133";"125";"   1,30";"   1,45";"   1,89";"   2,77";"   2,78";"   3,68";"    3,86";"    4,02";"   3,44";"   2,25";"   2,26";"   1,96";"202210";"15/11/2022 05:40:45"
"BENEFICENCIA SOCIAL BOM SAMARITANO (421189)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR LTDA. (366561)";"Médico Hospitalar";"Médio";"166";"189";"   0,56";"   0,38";"   0,57";"   0,57";"   0,58";"   0,96";"    1,35";"    1,55";"   1,16";"   0,78";"   0,58";"   0,59";"202210";"15/11/2022 05:40:45"
"BEST SENIOR OPERADORA DE SAÚDE LTDA (421766)";"Médico Hospitalar";"Pequeno";"19";"26";"  27,92";"  28,19";"  24,84";"  11,05";"  11,89";"  13,13";"   14,69";"   32,07";"  34,90";"  37,14";"  26,14";"  34,89";"202210";"15/11/2022 05:40:45"
"BIO SAÚDE SERVIÇOS MÉDICOS LTDA (402966)";"Médico Hospitalar";"Grande";"26";"25";"   6,88";"   8,42";"   9,00";"  10,20";"  11,78";"  13,30";"   14,12";"   13,51";"  10,78";"  10,68";"  10,49";"  12,45";"202210";"15/11/2022 05:40:45"
"BIOVIDA SAÚDE LTDA. (415111)";"Médico Hospitalar";"Médio";"28";"21";"   9,87";"  12,25";"  12,84";"  14,51";"  16,82";"  19,90";"   21,26";"   20,70";"  18,67";"  19,24";"  20,18";"  20,58";"202210";"15/11/2022 05:40:45"
"BRADESCO SAÚDE - OPERADORA DE PLANOS  S/A (421715)";"Médico Hospitalar";"Grande";"52";"51";"   3,42";"   4,25";"   4,10";"   4,30";"   4,12";"   4,34";"    4,64";"    4,74";"   4,74";"   4,21";"   4,13";"   4,38";"202210";"15/11/2022 05:40:45"
"BRADESCO SAÚDE S.A. (005711)";"Médico Hospitalar";"Grande";"12";"16";"   9,33";"  10,85";"  10,85";"  10,73";"  10,86";"  11,63";"   11,11";"   11,62";"  11,57";"  12,65";"  12,82";"  13,16";"202210";"15/11/2022 05:40:45"
"BRF S/A (417238)";"Médico Hospitalar";"Médio";"193";"197";"   0,31";"   0,30";"   0,10";"0,00";"0,00";"0,00";"0,00";"    0,09";"   0,28";"   0,28";"   0,19";"   0,09";"202210";"15/11/2022 05:40:45"
"CABERJ INTEGRAL SAÚDE S.A (415774)";"Médico Hospitalar";"Médio";"74";"67";"   2,91";"   3,98";"   5,47";"   6,99";"   7,03";"   6,49";"    5,02";"    5,97";"   8,23";"   9,43";"  13,42";"  16,37";"202210";"15/11/2022 05:40:45"
"CAIXA ASSISTENCIAL DOS AUDITORES FISCAIS DA RECEITA FEDERAL DO BRASIL (416657)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"  47,62";"  41,55";"   36,86";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC (327557)";"Médico Hospitalar";"Pequeno";"177";"131";"0,00";"   1,65";"   1,66";"   2,49";"   0,83";"   0,83";"0,00";"0,00";"0,00";"0,00";"   0,83";"   0,83";"202210";"15/11/2022 05:40:45"
"CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO (347825)";"Médico Hospitalar";"Pequeno";"46";"55";"   9,54";"   9,45";"   4,70";"  14,07";"  14,00";"   9,28";"0,00";"0,00";"0,00";"0,00";"0,00";"   4,33";"202210";"15/11/2022 05:40:45"
"CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE (314251)";"Médico Hospitalar";"Pequeno";"107";"157";"   2,25";"   1,13";"0,00";"   1,12";"   1,12";"   4,48";"    3,35";"    3,35";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO (352331)";"Médico Hospitalar";"Médio";"77";"61";"   2,88";"   4,41";"   6,11";"   5,33";"   4,74";"   4,16";"    5,65";"    6,95";"   7,29";"  15,28";"  15,23";"  13,14";"202210";"15/11/2022 05:40:45"
"CAIXA BENEFICENTE DOS FUNCIONÁRIOS DO GRUPO IGUAÇU (414026)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTÊNCIA  DOS EMPREGADOS DA EMPRESA  BRASILEIRA DE PESQUISA  AGROPECUÁRIA (416401)";"Médico Hospitalar";"Médio";"100";"103";"   1,88";"   1,88";"   1,88";"   1,87";"   0,93";"   0,47";"    0,47";"    1,39";"   2,76";"   2,74";"   2,28";"   1,81";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ (324361)";"Médico Hospitalar";"Pequeno";"109";"141";"   2,21";"   1,47";"   1,46";"   1,45";"   2,17";"   2,88";"    4,31";"    4,30";"   4,99";"   9,21";"  11,98";"  11,93";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE (316873)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"   0,51";"   0,50";"   1,00";"    1,00";"    0,99";"   0,49";"0,00";"   2,44";"   2,92";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTÊNCIA À SAÚDE DO SINDICATO DOS FUNCIONÁRIOS INTEGRANTES DO GRUPO OCUPACIONAL ADMINISTRAÇÃO TRIBUTÁRIA DO ESTADO DE PERNAMBUCO (417661)";"Médico Hospitalar";"Pequeno";"102";"118";"   2,40";"   2,40";"   2,39";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,37";"   4,73";"   7,08";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTÊNCIA À SAUDE DOS EMPREGADOS DA CODEVASF - CASEC (412295)";"Médico Hospitalar";"Pequeno";"74";"121";"   4,51";"   2,25";"0,00";"0,00";"0,00";"0,00";"    2,26";"    4,54";"   4,56";"   4,57";"   2,29";"   2,31";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO ESTADO DO MATO GROSSO DO SUL (421341)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"   2,44";"   3,68";"    3,70";"    1,24";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTÊNCIA À SAÚDE DOS TRABALHADORES NAS INDÚSTRIAS METALÚRGICAS, MECÂNICAS E DO MATERIAL ELÉTRICO DE BRUSQUE (419851)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,15";"    1,15";"    1,15";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTÊNCIA AOS MEMBROS DA DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO (418820)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   3,90";"   3,90";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTÊNCIA DO SINDFISCO - CASSIND (413518)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA CEDAE (321869)";"Médico Hospitalar";"Pequeno";"2";"1";" 322,58";" 632,60";"  42,49";"  19,09";"   6,75";"   7,86";"    7,20";"   10,21";"   9,27";"  11,41";"  10,01";"   9,93";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA SANEAGO (363855)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"   0,60";"   1,20";"   1,80";"    1,20";"    0,60";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL (307319)";"Médico Hospitalar";"Médio";"197";"204";"   0,28";"0,00";"   0,28";"   0,28";"   0,28";"   0,55";"    1,92";"    2,19";"   1,91";"   1,09";"   1,62";"   1,62";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB (315583)";"Médico Hospitalar";"Pequeno";"90";"104";"   3,17";"   3,15";"   6,24";"  12,38";"  15,35";"  15,23";"   12,06";"    8,97";"   5,93";"   2,95";"   2,94";"0,00";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANESE (335789)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"    2,72";"    2,72";"   2,73";"   1,36";"   1,36";"   1,35";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SETOR PÚBLICO DO ESTADO DE GOIÁS - CAEME (344184)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SISTEMA FINANCEIRO BANESTES (343331)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,08";"    2,15";"    4,29";"   3,21";"   3,20";"   1,06";"   1,06";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DA AMAZÔNIA - CASF (358754)";"Médico Hospitalar";"Pequeno";"124";"197";"   1,65";"0,00";"0,00";"0,00";"   1,67";"   1,67";"    1,66";"0,00";"   1,64";"   4,90";"   4,87";"   6,45";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL (346659)";"Médico Hospitalar";"Grande";"44";"45";"   4,40";"   5,12";"   5,86";"   6,23";"   6,84";"   7,19";"    7,48";"    7,81";"   7,60";"   6,97";"   6,68";"   7,03";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO NORDESTE DO BRASIL (385697)";"Médico Hospitalar";"Médio";"89";"78";"   2,15";"   2,95";"   3,75";"   3,21";"   3,21";"   2,68";"    4,27";"    6,67";"   6,92";"   6,38";"   5,85";"   6,38";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO (302627)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL (413534)";"Médico Hospitalar";"Grande";"85";"88";"   0,84";"   0,75";"   0,55";"   0,85";"   0,90";"   1,25";"    1,26";"    1,71";"   1,51";"   1,82";"   1,77";"   1,81";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTÊNCIA DOS SERVIDORES FAZENDÁRIOS ESTADUAIS (359122)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,22";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTÊNCIA OSWALDO CRUZ (417548)";"Médico Hospitalar";"Pequeno";"42";"45";"  11,96";"  13,40";"  11,13";"   8,86";"   5,87";"   5,83";"    8,68";"   14,37";"  15,00";"  14,21";"   9,89";"   8,44";"202210";"15/11/2022 05:40:45"
"CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE (320820)";"Médico Hospitalar";"Médio";"211";"175";"0,00";"   0,47";"   0,94";"   0,94";"   0,94";"   0,47";"    0,47";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP (324477)";"Médico Hospitalar";"Médio";"36";"31";"   8,17";"   9,97";"   9,81";"   7,04";"   7,99";"  11,02";"   12,50";"   10,18";"   7,64";"   7,52";"   6,76";"   6,01";"202210";"15/11/2022 05:40:45"
"CAIXA ECONÔMICA FEDERAL (312924)";"Médico Hospitalar";"Grande";"37";"39";"   5,31";"   6,48";"   6,58";"   7,38";"   7,85";"   8,40";"    8,39";"    8,42";"   9,47";"  10,94";"  10,62";"   8,91";"202210";"15/11/2022 05:40:45"
"CAMIM OPERADORA DE PLANO DE SAÚDE LTDA (319872)";"Médico Hospitalar";"Pequeno";"134";"151";"   1,35";"   1,32";"   1,96";"   0,65";"   1,28";"   1,90";"    1,87";"    1,84";"   0,60";"   0,60";"   0,59";"   0,59";"202210";"15/11/2022 05:40:45"
"CAPITAL PREV - FUNDACAO CAPITAL PREVIDENCIA E SAUDE (329665)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"    5,67";"   5,62";"   8,37";"   2,77";"   2,77";"202210";"15/11/2022 05:40:45"
"CARE PLUS MEDICINA ASSISTENCIAL LTDA. (379956)";"Médico Hospitalar";"Grande";"47";"48";"   3,89";"   4,49";"   3,76";"   3,23";"   2,66";"   2,40";"    2,38";"    2,67";"   2,37";"   2,13";"   1,49";"   1,68";"202210";"15/11/2022 05:40:45"
"CARING SAÚDE ASSISTÊNCIA MÉDICA LTDA. (422304)";"Médico Hospitalar";"Pequeno";"27";"24";"  21,10";"  30,46";"  28,05";"  43,62";"  36,47";"  27,92";"    4,75";"0,00";"0,00";"0,00";"   9,78";"  14,93";"202210";"15/11/2022 05:40:45"
"CASA DE SAÚDE NOSSA SENHORA DE FÁTIMA  LTDA. (327328)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CASA DE SAÚDE SÃO BERNARDO S/A (363766)";"Médico Hospitalar";"Médio";"37";"28";"   7,91";"  10,32";"   7,38";"   5,83";"   4,31";"   4,06";"    4,26";"    3,77";"   3,96";"   4,49";"   3,70";"   3,12";"202210";"15/11/2022 05:40:45"
"CEAM BRASIL - PLANOS DE SAÚDE LTDA (311472)";"Médico Hospitalar";"Pequeno";"131";"142";"   1,39";"   1,46";"   3,10";"   3,70";"   2,32";"0,00";"0,00";"0,00";"0,00";"0,00";"   4,71";"   4,74";"202210";"15/11/2022 05:40:45"
"CEDPLAN SAÚDE LTDA EPP (418749)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"    0,95";"    1,86";"   1,83";"   0,92";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CELULOSE NIPO-BRASILEIRA S/A - CENIBRA (339270)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,81";"   0,81";"   0,81";"0,00";"202210";"15/11/2022 05:40:45"
"CEMIG SAÚDE (417505)";"Médico Hospitalar";"Médio";"80";"86";"   2,62";"   2,62";"   1,92";"   1,74";"   2,08";"   1,74";"    1,21";"    1,38";"   1,73";"   2,41";"   2,41";"   2,06";"202210";"15/11/2022 05:40:45"
"CENIBRA LOGÍSTICA LTDA (422436)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL (339679)";"Médico Hospitalar";"Grande";"21";"22";"   7,86";"   9,19";"   8,84";"   9,18";"   9,34";"  10,12";"    9,53";"    9,95";"   9,38";"   9,95";"  10,06";"  10,76";"202210";"15/11/2022 05:40:45"
"CENTRAL REGIONAL DAS COOPERATIVAS MÉDICAS - UNIMED CERRADO (386596)";"Médico Hospitalar";"Médio";"180";"179";"   0,42";"   0,42";"   0,43";"   0,44";"   0,45";"   0,46";"    2,79";"    2,79";"   2,76";"   0,92";"   1,38";"   1,39";"202210";"15/11/2022 05:40:45"
"CENTRO CLÍNICO GAÚCHO LTDA (392804)";"Médico Hospitalar";"Grande";"43";"46";"   4,43";"   4,83";"   5,57";"   5,75";"   5,88";"   6,19";"    5,80";"    5,57";"   5,11";"   7,02";"   8,50";"   9,89";"202210";"15/11/2022 05:40:45"
"CENTRO CLINICO NH LTDA. (304212)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CENTRO DE ENDOCRINOLOGIA DE JUNDIAÍ S/S LTDA (415910)";"Médico Hospitalar";"Pequeno";"37";"39";"  15,56";"  15,54";"  15,51";"0,00";"  15,43";"  46,18";"   46,08";"   45,97";"  15,29";"  15,27";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CENTRO HOSPITALAR ATIBAIA LTDA. (350699)";"Médico Hospitalar";"Pequeno";"87";"111";"   3,28";"   2,73";"   2,18";"   2,73";"   3,82";"   5,47";"    3,83";"    2,73";"   1,09";"   1,09";"   1,10";"   1,10";"202210";"15/11/2022 05:40:45"
"CENTRO MÉDICO FÁTIMA LTDA (408883)";"Médico Hospitalar";"Pequeno";"25";"50";"  21,83";"  10,33";"  10,12";"   2,38";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,26";"202210";"15/11/2022 05:40:45"
"CENTRO TRASMONTANO DE SAO PAULO (303623)";"Médico Hospitalar";"Grande";"38";"38";"   5,21";"   6,52";"   6,19";"   7,53";"   8,46";"   9,30";"    8,18";"    9,47";"   9,72";"  11,26";"   9,51";"   9,91";"202210";"15/11/2022 05:40:45"
"CETESB - COMPANHIA AMBIENTAL DO ESTADO DE SÃO PAULO (324892)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CGO SAÚDE - OPERADORA DE PLANOS DE SAÚDE LTDA  (413291)";"Médico Hospitalar";"Pequeno";"83";"97";"   3,54";"   3,54";"   3,57";"   2,17";"   1,46";"   2,21";"    2,21";"    2,21";"   0,74";"   1,47";"   1,46";"   1,46";"202210";"15/11/2022 05:40:45"
"CIRCULO OPERARIO CAXIENSE (310247)";"Médico Hospitalar";"Grande";"89";"90";"   0,48";"   0,58";"   0,68";"   0,59";"   0,49";"   0,50";"    0,40";"    0,70";"   0,50";"   0,51";"   0,51";"   0,72";"202210";"15/11/2022 05:40:45"
"CLIMESA CLÍNICA MÉDICA SANTANA LTDA (342955)";"Médico Hospitalar";"Pequeno";"67";"110";"   5,43";"   2,75";"   2,78";"   5,71";"   5,84";"   5,93";"    2,97";"    2,98";"0,00";"0,00";"0,00";"   6,86";"202210";"15/11/2022 05:40:45"
"CLÍNICA SÃO GABRIEL S/S LTDA (415944)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"   8,82";"   9,00";"    9,24";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA (340782)";"Médico Hospitalar";"Grande";"10";"12";"  10,18";"  11,56";"  10,92";"  10,21";"  11,44";"  12,21";"   12,40";"   12,27";"  11,65";"  12,94";"  13,00";"  12,53";"202210";"15/11/2022 05:40:45"
"CMI - PLANOS DE ASSISTÊNCIA MÉDICA LTDA (310239)";"Médico Hospitalar";"Pequeno";"26";"22";"  21,31";"  32,55";"  15,92";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"COMPANHIA DAS DOCAS DO ESTADO DA BAHIA - CODEBA (419796)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"COMPANHIA DE ENGENHARIA DE TRAFEGO - CET (330051)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"   1,01";"   1,01";"   2,02";"   2,02";"    2,02";"    2,02";"   3,03";"   4,05";"   3,03";"   3,03";"202210";"15/11/2022 05:40:45"
"COMPANHIA DOCAS DO ESPIRITO SANTO - CODESA (416509)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"COMPANHIA ESPIRITO SANTENSE DE SANEAMENTO (392405)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB (334189)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,08";"   1,07";"   1,07";"202210";"15/11/2022 05:40:45"
"COMSEDER - COOPERATIVA DE ASSISTÊNCIA MÉDICA DOS SERVIDORES DA SUPLAN E DO DER LTDA (390259)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CONFERÊNCIA SÃO JOSÉ DO AVAÍ (321931)";"Médico Hospitalar";"Pequeno";"122";"128";"   1,69";"   1,73";"0,00";"0,00";"0,00";"0,00";"0,00";"    1,97";"   3,99";"   4,05";"   2,06";"0,00";"202210";"15/11/2022 05:40:45"
"CONFIANÇA ASSISTÊNCIA MÉDICO HOSPITALAR LTDA (410624)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"   0,90";"   0,90";"   0,90";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
